KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001106001,T001106002,T001106003,T001106004,T001106005,T001106006
11101,1,さいたま市西区,,0,,,38130,128,166,22813,14098,925
111010010,2,さいたま市西区,宮前町,0,,,1357,5,9,855,453,35
111010020,3,さいたま市西区,三橋,0,,,5556,7,15,3378,2050,106
1.11E+10,4,さいたま市西区,三橋五丁目,0,,,1548,1,7,841,675,24
1.11E+10,4,さいたま市西区,三橋六丁目,0,,,4008,6,8,2537,1375,82
111010030,3,さいたま市西区,大字指扇,0,,,7327,18,22,4437,2659,191
1.11E+10,4,さいたま市西区,大字指扇,0,,,195,1,-,124,66,4
1.11E+10,4,さいたま市西区,大字指扇,0,,,1843,7,6,1152,638,40
1.11E+10,4,さいたま市西区,大字指扇,0,,,3296,8,9,1955,1231,93
1.11E+10,4,さいたま市西区,大字指扇,0,,,1993,2,7,1206,724,54
111010040,2,さいたま市西区,大字指扇領別所,0,,,1259,5,3,691,541,19
111010050,2,さいたま市西区,大字宝来,0,,,1719,6,10,1061,600,42
111010060,2,さいたま市西区,大字峰岸,0,,,301,1,-,130,160,10
111010070,2,さいたま市西区,大字指扇領辻,0,,,155,-,1,82,64,8
111010080,2,さいたま市西区,大字中釘,0,,,658,11,7,377,237,26
111010090,2,さいたま市西区,大字高木,0,,,1055,6,4,636,386,23
111010100,2,さいたま市西区,大字清河寺,0,,,430,-,8,271,134,17
111010110,2,さいたま市西区,大字内野本郷,0,,,2121,3,3,1289,782,44
111010120,2,さいたま市西区,大字西新井,0,,,240,4,2,128,96,10
111010130,2,さいたま市西区,大字平方領領家,0,,,112,-,1,72,39,-
111010140,2,さいたま市西区,大字西遊馬,0,,,1889,10,13,1120,699,47
111010150,2,さいたま市西区,大字土屋,0,,,1474,2,7,864,565,36
111010160,2,さいたま市西区,大字二ツ宮,0,,,833,2,6,487,303,35
111010170,2,さいたま市西区,大字飯田新田,0,,,394,6,4,243,130,11
111010180,2,さいたま市西区,大字塚本,0,,,11,-,-,5,6,-
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,8,-,1,3,4,-
111010200,3,さいたま市西区,湯木町,0,,,74,1,3,42,24,4
1.11E+10,4,さいたま市西区,湯木町一丁目,0,,,37,1,1,21,11,3
1.11E+10,4,さいたま市西区,湯木町二丁目,0,,,37,-,2,21,13,1
111010210,3,さいたま市西区,塚本町,0,,,114,3,10,65,31,5
1.11E+10,4,さいたま市西区,塚本町一丁目,0,,,21,-,3,13,5,-
1.11E+10,4,さいたま市西区,塚本町二丁目,0,,,42,-,3,22,14,3
1.11E+10,4,さいたま市西区,塚本町三丁目,0,,,51,3,4,30,12,2
111010220,3,さいたま市西区,プラザ,0,,,1342,1,2,688,623,28
1.11E+10,4,さいたま市西区,プラザ,0,,,502,-,-,267,220,15
1.11E+10,4,さいたま市西区,プラザ,0,,,840,1,2,421,403,13
111010230,2,さいたま市西区,大字島根,0,,,451,10,8,250,171,12
111010240,2,さいたま市西区,大字三条町,0,,,193,-,2,120,61,10
111010250,2,さいたま市西区,大字植田谷本,0,,,1167,4,4,589,534,36
111010260,2,さいたま市西区,大字中野林,0,,,814,4,7,454,326,23
111010270,2,さいたま市西区,大字飯田,0,,,408,1,2,251,147,7
111010280,2,さいたま市西区,大字水判土,0,,,595,1,1,338,237,18
111010290,2,さいたま市西区,大字佐知川,0,,,2913,7,4,1725,1111,66
111010300,2,さいたま市西区,大字昭和,0,,,-,-,-,-,-,-
111010310,3,さいたま市西区,西大宮,0,,,3160,10,7,2162,925,56
1.11E+10,4,さいたま市西区,西大宮一丁目,0,,,948,1,-,613,311,23
1.11E+10,4,さいたま市西区,西大宮二丁目,0,,,417,1,3,301,103,9
1.11E+10,4,さいたま市西区,西大宮三丁目,0,,,1083,8,2,723,339,11
1.11E+10,4,さいたま市西区,西大宮四丁目,0,,,712,-,2,525,172,13
11102,1,さいたま市北区,,0,,,66401,68,100,40521,24440,1272
111020010,2,さいたま市北区,大成町,0,,,2647,2,1,1644,957,43
111020020,3,さいたま市北区,東大成町,0,,,4997,4,1,2828,2128,36
1.11E+10,4,さいたま市北区,東大成町一丁目,0,,,2455,1,-,1292,1144,18
1.11E+10,4,さいたま市北区,東大成町二丁目,0,,,2542,3,1,1536,984,18
111020030,3,さいたま市北区,日進町,0,,,14072,7,22,8553,5197,293
1.11E+10,4,さいたま市北区,日進町一丁目,0,,,4157,2,2,2648,1390,115
1.11E+10,4,さいたま市北区,日進町二丁目,0,,,4783,2,7,2760,1919,95
1.11E+10,4,さいたま市北区,日進町三丁目,0,,,2718,3,10,1656,997,52
1.11E+10,4,さいたま市北区,日進町二丁目,0,,,2414,-,3,1489,891,31
111020040,2,さいたま市北区,櫛引町,0,,,2070,-,1,1316,725,28
111020050,3,さいたま市北区,宮原町,0,,,13780,9,17,8731,4753,270
1.11E+10,4,さいたま市北区,宮原町一丁目,0,,,4398,2,7,2909,1409,71
1.11E+10,4,さいたま市北区,宮原町二丁目,0,,,3072,1,5,1911,1067,88
1.11E+10,4,さいたま市北区,宮原町三丁目,0,,,3370,2,3,2148,1171,46
1.11E+10,4,さいたま市北区,宮原町四丁目,0,,,2940,4,2,1763,1106,65
111020060,3,さいたま市北区,吉野町,0,,,4845,13,13,3004,1703,112
1.11E+10,4,さいたま市北区,吉野町一丁目,0,,,3156,7,10,1970,1087,82
1.11E+10,4,さいたま市北区,吉野町二丁目,0,,,1689,6,3,1034,616,30
111020070,2,さいたま市北区,別所町,0,,,2393,9,5,1452,911,16
111020080,2,さいたま市北区,奈良町,0,,,4207,5,5,2457,1649,91
111020090,3,さいたま市北区,植竹町,0,,,3094,3,4,1825,1208,54
1.11E+10,4,さいたま市北区,植竹町一丁目,0,,,2381,2,3,1493,853,30
1.11E+10,4,さいたま市北区,植竹町二丁目,0,,,713,1,1,332,355,24
111020100,2,さいたま市北区,盆栽町,0,,,1739,3,3,1026,665,42
111020110,3,さいたま市北区,土呂町,0,,,6071,4,11,3704,2227,125
1.11E+10,4,さいたま市北区,土呂町,0,,,315,-,4,169,135,7
