KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001084001,T001084002,T001084003,T001084004,T001084005,T001084006,T001084007,T001084008,T001084009
11101,1,さいたま市西区,,0,,,38130,26228,24273,8334,12293,1955,3812,8690,15337
111010010,2,さいたま市西区,宮前町,0,,,1357,957,881,311,454,76,142,318,518
111010020,3,さいたま市西区,三橋,0,,,5556,3653,3409,1073,1811,244,571,1420,1790
1.11E+10,4,さいたま市西区,三橋五丁目,0,,,1548,940,868,296,422,72,121,332,548
1.11E+10,4,さいたま市西区,三橋六丁目,0,,,4008,2713,2541,777,1389,172,450,1088,1242
111010030,3,さいたま市西区,大字指扇,0,,,7327,5045,4713,1664,2362,332,687,1623,2641
1.11E+10,4,さいたま市西区,大字指扇,0,,,195,155,140,48,78,15,20,66,68
1.11E+10,4,さいたま市西区,大字指扇,0,,,1843,1319,1230,409,656,89,175,440,679
1.11E+10,4,さいたま市西区,大字指扇,0,,,3296,2136,2015,751,995,121,326,685,1111
1.11E+10,4,さいたま市西区,大字指扇,0,,,1993,1435,1328,456,633,107,166,432,783
111010040,2,さいたま市西区,大字指扇領別所,0,,,1259,805,752,332,316,53,53,150,639
111010050,2,さいたま市西区,大字宝来,0,,,1719,1020,927,315,458,93,123,315,574
111010060,2,さいたま市西区,大字峰岸,0,,,301,185,166,70,45,19,12,43,186
111010070,2,さいたま市西区,大字指扇領辻,0,,,155,120,106,40,54,14,8,28,102
111010080,2,さいたま市西区,大字中釘,0,,,658,501,447,148,208,54,44,141,377
111010090,2,さいたま市西区,大字高木,0,,,1055,789,706,220,373,83,71,243,534
111010100,2,さいたま市西区,大字清河寺,0,,,430,328,293,109,144,35,27,80,262
111010110,2,さいたま市西区,大字内野本郷,0,,,2121,1503,1400,439,744,103,193,529,841
111010120,2,さいたま市西区,大字西新井,0,,,240,179,163,60,86,16,15,39,145
111010130,2,さいたま市西区,大字平方領領家,0,,,112,81,75,19,51,6,32,50,39
111010140,2,さいたま市西区,大字西遊馬,0,,,1889,1220,1112,387,515,108,144,351,760
111010150,2,さいたま市西区,大字土屋,0,,,1474,926,867,308,419,59,139,282,590
111010160,2,さいたま市西区,大字二ツ宮,0,,,833,627,567,211,259,60,73,173,480
111010170,2,さいたま市西区,大字飯田新田,0,,,394,279,245,85,119,34,19,76,236
111010180,2,さいたま市西区,大字塚本,0,,,11,9,6,1,5,3,1,2,9
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,8,6,4,3,-,2,-,1,7
111010200,3,さいたま市西区,湯木町,0,,,74,55,47,15,25,8,10,18,33
1.11E+10,4,さいたま市西区,湯木町一丁目,0,,,37,26,25,7,14,1,6,7,18
1.11E+10,4,さいたま市西区,湯木町二丁目,0,,,37,29,22,8,11,7,4,11,15
111010210,3,さいたま市西区,塚本町,0,,,114,91,78,25,39,13,10,17,76
1.11E+10,4,さいたま市西区,塚本町一丁目,0,,,21,15,13,6,4,2,1,2,15
1.11E+10,4,さいたま市西区,塚本町二丁目,0,,,42,33,29,8,18,4,5,8,29
1.11E+10,4,さいたま市西区,塚本町三丁目,0,,,51,43,36,11,17,7,4,7,32
111010220,3,さいたま市西区,プラザ,0,,,1342,1021,950,390,426,71,74,232,847
1.11E+10,4,さいたま市西区,プラザ,0,,,502,385,362,142,168,23,32,95,295
1.11E+10,4,さいたま市西区,プラザ,0,,,840,636,588,248,258,48,42,137,552
111010230,2,さいたま市西区,大字島根,0,,,451,325,292,101,151,33,26,84,224
111010240,2,さいたま市西区,大字三条町,0,,,193,155,135,51,62,20,16,40,111
111010250,2,さいたま市西区,大字植田谷本,0,,,1167,702,649,254,257,53,45,131,665
111010260,2,さいたま市西区,大字中野林,0,,,814,617,558,213,260,59,55,144,490
111010270,2,さいたま市西区,大字飯田,0,,,408,303,282,96,151,21,44,114,199
111010280,2,さいたま市西区,大字水判土,0,,,595,442,403,130,200,39,49,140,268
111010290,2,さいたま市西区,大字佐知川,0,,,2913,2047,1875,606,954,172,218,685,1196
111010300,2,さいたま市西区,大字昭和,0,,,-,-,-,-,-,-,-,-,-
111010310,3,さいたま市西区,西大宮,0,,,3160,2237,2165,658,1345,72,911,1221,498
1.11E+10,4,さいたま市西区,西大宮一丁目,0,,,948,568,546,198,296,22,176,252,150
1.11E+10,4,さいたま市西区,西大宮二丁目,0,,,417,301,293,87,185,8,146,180,44
1.11E+10,4,さいたま市西区,西大宮三丁目,0,,,1083,764,746,239,455,18,290,414,174
1.11E+10,4,さいたま市西区,西大宮四丁目,0,,,712,604,580,134,409,24,299,375,130
11102,1,さいたま市北区,,0,,,66401,40350,37814,12401,19912,2536,5354,14213,20572
111020010,2,さいたま市北区,大成町,0,,,2647,1690,1619,467,916,71,251,631,752
111020020,3,さいたま市北区,東大成町,0,,,4997,2717,2512,807,1275,205,367,964,1572
1.11E+10,4,さいたま市北区,東大成町一丁目,0,,,2455,1151,1062,367,467,89,176,381,787
1.11E+10,4,さいたま市北区,東大成町二丁目,0,,,2542,1566,1450,440,808,116,191,583,785
111020030,3,さいたま市北区,日進町,0,,,14072,8371,7765,2555,4061,606,977,2733,4633
1.11E+10,4,さいたま市北区,日進町一丁目,0,,,4157,2652,2466,825,1317,186,309,862,1460
1.11E+10,4,さいたま市北区,日進町二丁目,0,,,4783,2725,2480,788,1284,245,304,883,1632
1.11E+10,4,さいたま市北区,日進町三丁目,0,,,2718,1515,1433,509,713,82,163,437,834
1.11E+10,4,さいたま市北区,日進町二丁目,0,,,2414,1479,1386,433,747,93,201,551,707
111020040,2,さいたま市北区,櫛引町,0,,,2070,1400,1287,415,687,113,124,438,791
111020050,3,さいたま市北区,宮原町,0,,,13780,8496,8066,2626,4428,430,1123,3226,3574
1.11E+10,4,さいたま市北区,宮原町一丁目,0,,,4398,3183,3064,1006,1699,119,404,1212,1214
1.11E+10,4,さいたま市北区,宮原町二丁目,0,,,3072,1661,1553,520,824,108,243,556,789
1.11E+10,4,さいたま市北区,宮原町三丁目,0,,,3370,1951,1874,550,1098,77,275,906,658
1.11E+10,4,さいたま市北区,宮原町四丁目,0,,,2940,1701,1575,550,807,126,201,552,913
111020060,3,さいたま市北区,吉野町,0,,,4845,2996,2790,893,1513,206,499,1161,1405
1.11E+10,4,さいたま市北区,吉野町一丁目,0,,,3156,1889,1783,570,971,106,348,760,792
1.11E+10,4,さいたま市北区,吉野町二丁目,0,,,1689,1107,1007,323,542,100,151,401,613
111020070,2,さいたま市北区,別所町,0,,,2393,1693,1567,481,845,126,196,572,895
111020080,2,さいたま市北区,奈良町,0,,,4207,2657,2498,904,1225,159,359,844,1530
111020090,3,さいたま市北区,植竹町,0,,,3094,1768,1646,524,811,122,195,554,1268
1.11E+10,4,さいたま市北区,植竹町一丁目,0,,,2381,1371,1278,403,682,93,166,450,841
1.11E+10,4,さいたま市北区,植竹町二丁目,0,,,713,397,368,121,129,29,29,104,427
111020100,2,さいたま市北区,盆栽町,0,,,1739,1064,994,355,474,70,115,321,633
111020110,3,さいたま市北区,土呂町,0,,,6071,3199,3032,1092,1535,167,537,1176,1377
1.11E+10,4,さいたま市北区,土呂町,0,,,315,108,96,28,53,12,18,46,77
1.11E+10,4,さいたま市北区,土呂町一丁目,0,,,2999,1650,1576,523,836,74,274,612,693
1.11E+10,4,さいたま市北区,土呂町二丁目,0,,,2757,1441,1360,541,646,81,245,518,607
111020130,2,さいたま市北区,今羽町,0,,,1716,1096,1035,353,509,61,123,341,600
111020140,2,さいたま市北区,本郷町,0,,,4770,3203,3003,929,1633,200,488,1252,1542
111020150,3,さいたま市北区,見沼,0,,,-,-,-,-,-,-,-,-,-
1.11E+10,4,さいたま市北区,見沼一丁目,0,,,-,-,-,-,-,-,-,-,-
1.11E+10,4,さいたま市北区,見沼二丁目,0,,,-,-,-,-,-,-,-,-,-
1.11E+10,4,さいたま市北区,見沼三丁目,0,,,-,-,-,-,-,-,-,-,-
11103,1,さいたま市大宮区,,0,,,55087,31818,29749,10525,14862,2069,4505,10601,17482
111030010,3,さいたま市大宮区,大原,0,,,427,274,262,95,118,12,30,86,177
1.11E+10,4,さいたま市大宮区,大原六丁目,0,,,194,131,122,45,60,9,10,45,52
1.11E+10,4,さいたま市大宮区,大原七丁目,0,,,233,143,140,50,58,3,20,41,125
111030020,3,さいたま市大宮区,北袋町,0,,,2835,1834,1752,625,921,82,357,702,877
1.11E+10,4,さいたま市大宮区,北袋町一丁目,0,,,1440,976,937,350,482,39,213,392,436
1.11E+10,4,さいたま市大宮区,北袋町二丁目,0,,,1395,858,815,275,439,43,144,310,441
111030030,3,さいたま市大宮区,吉敷町,0,,,2875,1370,1287,536,620,83,263,495,638
1.11E+10,4,さいたま市大宮区,吉敷町一丁目,0,,,624,374,358,174,159,16,77,138,110
1.11E+10,4,さいたま市大宮区,吉敷町二丁目,0,,,828,396,377,154,188,19,99,172,153
1.11E+10,4,さいたま市大宮区,吉敷町三丁目,0,,,659,325,301,110,152,24,43,99,191
1.11E+10,4,さいたま市大宮区,吉敷町四丁目,0,,,764,275,251,98,121,24,44,86,184
111030040,3,さいたま市大宮区,浅間町,0,,,1286,693,634,229,318,59,86,219,424
1.11E+10,4,さいたま市大宮区,浅間町一丁目,0,,,616,299,271,106,121,28,36,86,202
1.11E+10,4,さいたま市大宮区,浅間町二丁目,0,,,670,394,363,123,197,31,50,133,222
111030050,3,さいたま市大宮区,天沼町,0,,,4125,2593,2400,792,1228,193,395,831,1565
1.11E+10,4,さいたま市大宮区,天沼町一丁目,0,,,1909,1180,1081,359,539,99,149,329,802
1.11E+10,4,さいたま市大宮区,天沼町二丁目,0,,,2216,1413,1319,433,689,94,246,502,763
111030060,3,さいたま市大宮区,堀の内町,0,,,3863,2338,2181,777,1059,157,267,690,1527
1.11E+10,4,さいたま市大宮区,堀の内町一丁目,0,,,2120,1269,1196,461,554,73,150,345,894
1.11E+10,4,さいたま市大宮区,堀の内町二丁目,0,,,809,487,447,137,232,40,67,178,238
1.11E+10,4,さいたま市大宮区,堀の内町三丁目,0,,,934,582,538,179,273,44,50,167,395
111030070,3,さいたま市大宮区,寿能町,0,,,2110,1242,1172,400,538,70,142,388,831
1.11E+10,4,さいたま市大宮区,寿能町一丁目,0,,,708,357,330,131,146,27,27,96,263
1.11E+10,4,さいたま市大宮区,寿能町二丁目,0,,,1402,885,842,269,392,43,115,292,568
111030080,3,さいたま市大宮区,高鼻町,0,,,1797,1104,1033,417,482,71,141,315,730
1.11E+10,4,さいたま市大宮区,高鼻町一丁目,0,,,893,525,489,193,245,36,72,164,339
1.11E+10,4,さいたま市大宮区,高鼻町二丁目,0,,,611,386,360,154,158,26,49,107,265
1.11E+10,4,さいたま市大宮区,高鼻町三丁目,1,,8004,293,193,184,70,79,9,20,44,126
1.11E+10,4,さいたま市大宮区,高鼻町四丁目,2,8003,,X,X,X,X,X,X,X,X,X
111030090,3,さいたま市大宮区,土手町,0,,,2209,1099,1019,409,468,80,138,325,632
1.11E+10,4,さいたま市大宮区,土手町一丁目,0,,,1131,559,529,214,234,30,61,154,301
1.11E+10,4,さいたま市大宮区,土手町二丁目,0,,,371,197,178,71,89,19,34,71,112
1.11E+10,4,さいたま市大宮区,土手町三丁目,0,,,707,343,312,124,145,31,43,100,219
111030100,3,さいたま市大宮区,宮町,0,,,1945,538,489,213,208,49,61,144,369
1.11E+10,4,さいたま市大宮区,宮町一丁目,0,,,112,28,27,15,9,1,2,6,23
1.11E+10,4,さいたま市大宮区,宮町二丁目,0,,,218,84,81,34,35,3,6,19,60
1.11E+10,4,さいたま市大宮区,宮町三丁目,0,,,415,188,168,73,76,20,25,51,116
1.11E+10,4,さいたま市大宮区,宮町四丁目,0,,,704,147,134,53,60,13,20,53,90
1.11E+10,4,さいたま市大宮区,宮町五丁目,0,,,496,91,79,38,28,12,8,15,80
