KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001083001,T001083002,T001083003,T001083004,T001083005,T001083006,T001083007,T001083008
11101,1,さいたま市西区,,0,,,38130,11469,11507,7501,5659,1579,90124,2.3636
111010010,2,さいたま市西区,宮前町,0,,,1357,384,416,265,228,49,3263,2.40457
111010020,3,さいたま市西区,三橋,0,,,5556,1842,1503,1040,890,234,12988,2.33765
1.11E+10,4,さいたま市西区,三橋五丁目,0,,,1548,593,419,259,201,63,3407,2.2009
1.11E+10,4,さいたま市西区,三橋六丁目,0,,,4008,1249,1084,781,689,171,9581,2.39047
111010030,3,さいたま市西区,大字指扇,0,,,7327,2179,2256,1488,1057,273,17208,2.34857
1.11E+10,4,さいたま市西区,大字指扇,0,,,195,36,60,43,42,12,525,2.69231
1.11E+10,4,さいたま市西区,大字指扇,0,,,1843,504,553,387,301,76,4497,2.44004
1.11E+10,4,さいたま市西区,大字指扇,0,,,3296,1110,985,665,414,100,7367,2.23513
1.11E+10,4,さいたま市西区,大字指扇,0,,,1993,529,658,393,300,85,4819,2.41796
111010040,2,さいたま市西区,大字指扇領別所,0,,,1259,440,442,221,131,16,2647,2.10246
111010050,2,さいたま市西区,大字宝来,0,,,1719,677,449,305,211,53,3754,2.18383
111010060,2,さいたま市西区,大字峰岸,0,,,301,114,108,49,21,7,608,2.01993
111010070,2,さいたま市西区,大字指扇領辻,0,,,155,34,51,33,26,7,400,2.58065
111010080,2,さいたま市西区,大字中釘,0,,,658,155,215,140,96,43,1664,2.52888
111010090,2,さいたま市西区,大字高木,0,,,1055,250,310,235,183,61,2712,2.57062
111010100,2,さいたま市西区,大字清河寺,0,,,430,100,146,98,57,24,1066,2.47907
111010110,2,さいたま市西区,大字内野本郷,0,,,2121,603,600,414,374,99,5230,2.46582
111010120,2,さいたま市西区,大字西新井,0,,,240,60,75,48,49,3,595,2.47917
111010130,2,さいたま市西区,大字平方領領家,0,,,112,31,25,20,29,6,293,2.61607
111010140,2,さいたま市西区,大字西遊馬,0,,,1889,650,577,328,234,82,4246,2.24775
111010150,2,さいたま市西区,大字土屋,0,,,1474,530,441,239,213,44,3244,2.20081
111010160,2,さいたま市西区,大字二ツ宮,0,,,833,198,299,173,116,35,2029,2.43577
111010170,2,さいたま市西区,大字飯田新田,0,,,394,114,117,68,60,28,977,2.4797
111010180,2,さいたま市西区,大字塚本,0,,,11,2,1,4,3,1,33,3
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,8,2,5,-,1,-,16,2
111010200,3,さいたま市西区,湯木町,0,,,74,18,22,16,11,5,193,2.60811
1.11E+10,4,さいたま市西区,湯木町一丁目,0,,,37,11,10,8,5,2,91,2.45946
1.11E+10,4,さいたま市西区,湯木町二丁目,0,,,37,7,12,8,6,3,102,2.75676
111010210,3,さいたま市西区,塚本町,0,,,114,22,35,33,16,4,302,2.64912
1.11E+10,4,さいたま市西区,塚本町一丁目,0,,,21,6,8,3,3,-,50,2.38095
1.11E+10,4,さいたま市西区,塚本町二丁目,0,,,42,9,10,15,6,-,110,2.61905
1.11E+10,4,さいたま市西区,塚本町三丁目,0,,,51,7,17,15,7,4,142,2.78431
111010220,3,さいたま市西区,プラザ,0,,,1342,316,509,275,177,55,3205,2.38823
1.11E+10,4,さいたま市西区,プラザ,0,,,502,114,189,93,83,21,1220,2.43028
1.11E+10,4,さいたま市西区,プラザ,0,,,840,202,320,182,94,34,1985,2.3631
111010230,2,さいたま市西区,大字島根,0,,,451,125,140,94,67,18,1089,2.41463
111010240,2,さいたま市西区,大字三条町,0,,,193,36,68,39,33,15,509,2.63731
111010250,2,さいたま市西区,大字植田谷本,0,,,1167,452,384,194,92,36,2406,2.0617
111010260,2,さいたま市西区,大字中野林,0,,,814,190,289,163,118,37,2023,2.48526
111010270,2,さいたま市西区,大字飯田,0,,,408,103,117,92,63,22,1044,2.55882
