KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001085001,T001085002,T001085003
11101,1,さいたま市西区,,0,,,37881,26800,9453
111010010,2,さいたま市西区,宮前町,0,,,1354,970,345
111010020,3,さいたま市西区,三橋,0,,,5466,3342,1831
11101002005,4,さいたま市西区,三橋五丁目,0,,,1544,895,602
11101002006,4,さいたま市西区,三橋六丁目,0,,,3922,2447,1229
111010030,3,さいたま市西区,大字指扇,0,,,7314,4771,2256
11101003001,4,さいたま市西区,大字指扇,0,,,195,132,44
11101003002,4,さいたま市西区,大字指扇,0,,,1839,1419,394
11101003003,4,さいたま市西区,大字指扇,0,,,3288,2016,1158
11101003004,4,さいたま市西区,大字指扇,0,,,1992,1204,660
111010040,2,さいたま市西区,大字指扇領別所,0,,,1254,936,298
111010050,2,さいたま市西区,大字宝来,0,,,1681,931,613
111010060,2,さいたま市西区,大字峰岸,0,,,300,152,5
111010070,2,さいたま市西区,大字指扇領辻,0,,,155,151,1
111010080,2,さいたま市西区,大字中釘,0,,,640,527,18
111010090,2,さいたま市西区,大字高木,0,,,1050,928,96
111010100,2,さいたま市西区,大字清河寺,0,,,429,395,27
111010110,2,さいたま市西区,大字内野本郷,0,,,2115,1634,452
111010120,2,さいたま市西区,大字西新井,0,,,238,227,6
111010130,2,さいたま市西区,大字平方領領家,0,,,112,103,8
111010140,2,さいたま市西区,大字西遊馬,0,,,1875,1283,541
111010150,2,さいたま市西区,大字土屋,0,,,1471,925,510
111010160,2,さいたま市西区,大字二ツ宮,0,,,831,716,86
111010170,2,さいたま市西区,大字飯田新田,0,,,391,287,5
111010180,2,さいたま市西区,大字塚本,0,,,11,11,-
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,8,8,-
111010200,3,さいたま市西区,湯木町,0,,,74,63,10
11101020001,4,さいたま市西区,湯木町一丁目,0,,,37,26,10
11101020002,4,さいたま市西区,湯木町二丁目,0,,,37,37,-
111010210,3,さいたま市西区,塚本町,0,,,113,110,1
11101021001,4,さいたま市西区,塚本町一丁目,0,,,20,19,-
11101021002,4,さいたま市西区,塚本町二丁目,0,,,42,40,1
11101021003,4,さいたま市西区,塚本町三丁目,0,,,51,51,-
111010220,3,さいたま市西区,プラザ,0,,,1333,1269,47
11101022001,4,さいたま市西区,プラザ,0,,,496,454,38
11101022002,4,さいたま市西区,プラザ,0,,,837,815,9
111010230,2,さいたま市西区,大字島根,0,,,445,373,61
111010240,2,さいたま市西区,大字三条町,0,,,192,181,7
111010250,2,さいたま市西区,大字植田谷本,0,,,1161,1014,122
111010260,2,さいたま市西区,大字中野林,0,,,814,739,57
111010270,2,さいたま市西区,大字飯田,0,,,406,346,57
111010280,2,さいたま市西区,大字水判土,0,,,595,451,126
111010290,2,さいたま市西区,大字佐知川,0,,,2905,2030,762
111010300,2,さいたま市西区,大字昭和,0,,,-,-,-
111010310,3,さいたま市西区,西大宮,0,,,3148,1927,1105
11101031001,4,さいたま市西区,西大宮一丁目,0,,,947,451,455
11101031002,4,さいたま市西区,西大宮二丁目,0,,,408,279,108
11101031003,4,さいたま市西区,西大宮三丁目,0,,,1082,673,389
11101031004,4,さいたま市西区,西大宮四丁目,0,,,711,524,153
11102,1,さいたま市北区,,0,,,65639,36807,22210
111020010,2,さいたま市北区,大成町,0,,,2638,1504,951
111020020,3,さいたま市北区,東大成町,0,,,4983,2319,2028
11102002001,4,さいたま市北区,東大成町一丁目,0,,,2447,895,1026
11102002002,4,さいたま市北区,東大成町二丁目,0,,,2536,1424,1002
111020030,3,さいたま市北区,日進町,0,,,13997,8274,4532
11102003001,4,さいたま市北区,日進町一丁目,0,,,4136,2713,722
