KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001086001,T001086002,T001086003,T001086004,T001086005,T001086006,T001086007,T001086008,T001086009
11101,1,さいたま市西区,,0,,,37385,24211,353,12801,5960,4842,1664,335,20
111010010,2,さいたま市西区,宮前町,0,,,1338,882,3,451,307,38,106,-,2
111010020,3,さいたま市西区,三橋,0,,,5385,3105,40,2238,1236,954,48,-,2
11101002005,4,さいたま市西区,三橋五丁目,0,,,1523,913,8,602,376,226,-,-,-
11101002006,4,さいたま市西区,三橋六丁目,0,,,3862,2192,32,1636,860,728,48,-,2
111010030,3,さいたま市西区,大字指扇,0,,,7214,4375,55,2781,1349,766,481,185,3
11101003001,4,さいたま市西区,大字指扇,0,,,192,131,-,59,19,40,-,-,2
11101003002,4,さいたま市西区,大字指扇,0,,,1823,1165,8,650,269,78,303,-,-
11101003003,4,さいたま市西区,大字指扇,0,,,3238,1811,10,1417,697,461,74,185,-
11101003004,4,さいたま市西区,大字指扇,0,,,1961,1268,37,655,364,187,104,-,1
111010040,2,さいたま市西区,大字指扇領別所,0,,,1241,526,9,706,175,92,439,-,-
111010050,2,さいたま市西区,大字宝来,0,,,1654,758,11,883,249,544,90,-,2
111010060,2,さいたま市西区,大字峰岸,0,,,297,55,-,242,-,138,-,104,-
111010070,2,さいたま市西区,大字指扇領辻,0,,,153,152,1,-,-,-,-,-,-
111010080,2,さいたま市西区,大字中釘,0,,,635,535,2,98,10,-,88,-,-
111010090,2,さいたま市西区,大字高木,0,,,1034,818,-,216,69,101,-,46,-
111010100,2,さいたま市西区,大字清河寺,0,,,424,406,3,14,14,-,-,-,1
111010110,2,さいたま市西区,大字内野本郷,0,,,2096,1644,54,397,381,16,-,-,1
111010120,2,さいたま市西区,大字西新井,0,,,235,234,-,1,1,-,-,-,-
111010130,2,さいたま市西区,大字平方領領家,0,,,111,102,3,6,6,-,-,-,-
111010140,2,さいたま市西区,大字西遊馬,0,,,1842,938,19,883,349,447,87,-,2
111010150,2,さいたま市西区,大字土屋,0,,,1452,965,13,474,346,128,-,-,-
111010160,2,さいたま市西区,大字二ツ宮,0,,,822,727,6,89,60,29,-,-,-
111010170,2,さいたま市西区,大字飯田新田,0,,,380,291,1,87,1,86,-,-,1
111010180,2,さいたま市西区,大字塚本,0,,,11,11,-,-,-,-,-,-,-
111010190,2,さいたま市西区,大字植田谷本村新田,0,,,8,8,-,-,-,-,-,-,-
111010200,3,さいたま市西区,湯木町,0,,,73,63,-,10,10,-,-,-,-
11101020001,4,さいたま市西区,湯木町一丁目,0,,,36,26,-,10,10,-,-,-,-
11101020002,4,さいたま市西区,湯木町二丁目,0,,,37,37,-,-,-,-,-,-,-
111010210,3,さいたま市西区,塚本町,0,,,112,112,-,-,-,-,-,-,-
11101021001,4,さいたま市西区,塚本町一丁目,0,,,19,19,-,-,-,-,-,-,-
11101021002,4,さいたま市西区,塚本町二丁目,0,,,42,42,-,-,-,-,-,-,-
11101021003,4,さいたま市西区,塚本町三丁目,0,,,51,51,-,-,-,-,-,-,-
111010220,3,さいたま市西区,プラザ,0,,,1317,1282,9,25,25,-,-,-,1
11101022001,4,さいたま市西区,プラザ,0,,,492,464,3,25,25,-,-,-,-
11101022002,4,さいたま市西区,プラザ,0,,,825,818,6,-,-,-,-,-,1
111010230,2,さいたま市西区,大字島根,0,,,438,383,4,51,32,19,-,-,-
