種類,価格情報区分,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（㎡）,取引価格（㎡単価）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時期,改装,取引の事情等
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,15,19000000,,１ＬＤＫ＋Ｓ,75,,,,,1989年,,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,18,11000000,,３ＬＤＫ,70,,,,,1996年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,21,13000000,,１ＬＤＫ＋Ｓ,55,,,,,1991年,ＲＣ,,,,,,１中住専,,,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,幸町,本川越,13,12000000,,２ＬＤＫ,65,,,,,1978年,ＲＣ,,,,,,商業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字砂新田,新河岸,25,6000000,,３ＤＫ,60,,,,60,1989年,木造,,,南東,公道,5.4,１低住専,50,100,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,野田町,川越市,15,51000000,,４ＬＤＫ,115,,,,115,2013年,鉄骨造,,,西,公道,6.8,１種住居,60,200,2021年第1四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,15,8000000,,３ＤＫ,55,,,,,1993年,ＲＣ,,,,,,準工業,,,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,,13000000,,６ＤＫ,195,,,,140,1990年,木造,,,,,,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,南大塚,南大塚,15,15000000,,４ＬＤＫ,120,,,,95,2001年,木造,,,北,公道,4.2,１低住専,50,80,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,むさし野,川越,,19000000,,４ＬＤＫ,110,,,,110,2004年,木造,,,南,公道,4.2,１中住専,60,160,2021年第1四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,稲荷町,上福岡,20,19000000,,４ＬＤＫ,125,,,,95,1997年,木造,,,北西,公道,6,１中住専,60,200,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,25,27000000,,４ＬＤＫ＋Ｓ,145,,,,115,2009年,木造,,,東,公道,4.2,１種住居,60,200,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,新河岸,15,28000000,,４ＬＤＫ＋Ｓ,100,,,,105,2017年,木造,,,南,公道,6,１種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,17,14000000,,３ＬＤＫ＋Ｓ,85,,,,,1998年,ＲＣ,,,,,,１中住専,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,15,16000000,,２ＬＤＫ,75,,,,,1999年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,岸町,川越,20,15000000,,３ＤＫ,100,,,,100,1996年,木造,,,東,公道,4,１種住居,60,200,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,岸町,川越,17,11000000,,３ＬＤＫ,80,,,,,1987年,ＲＣ,,,,,,,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,田町,川越市,5,8300000,,２ＤＫ,65,,,,,1978年,ＲＣ,,,,,,１種住居,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,15,9300000,,３ＤＫ,55,,,,,1993年,ＲＣ,,,,,,準工業,,,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,大字南田島,南古谷,16,13000000,,３ＬＤＫ,65,,,,,1995年,ＲＣ,,,,,,,,,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字山田,川越,,5100000,,３Ｋ,60,,,,55,1991年,木造,,,東,公道,4,１低住専,50,80,2021年第2四半期,,
宅地(土地と建物),成約価格情報,,11201,埼玉県,川越市,大字山田,本川越,,12000000,,３ＬＤＫ,125,,,,100,1993年,木造,,,南東,公道,4.6,１種住居,60,184,2021年第2四半期,,
中古マンション等,成約価格情報,,11201,埼玉県,川越市,六軒町,川越市,4,34000000,,３ＬＤＫ,70,,,,,2014年,ＳＲＣ,,,,,,近隣商業,,,2021年第2四半期,,
